datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW
2025-01-04 10:00:00,131.06,2971.0959147024364,462.5,462.5
2025-01-04 11:00:00,126.09,2969.193919999664,462.5,462.5
2025-01-04 12:00:00,124.93,2970.315095824456,462.5,462.5
2025-01-04 13:00:00,126.09,2972.1970695303576,462.5,462.5
2025-01-04 14:00:00,128.47,2979.174386940002,462.5,462.5
2025-01-04 15:00:00,136.84,2973.848801772239,462.5,462.5
2025-01-04 16:00:00,144.26,2974.09906423313,462.5,462.5
2025-01-04 17:00:00,152.62,2971.766618097625,462.5,462.5
2025-01-04 18:00:00,147.76,2971.696544608575,462.5,462.5
2025-01-04 19:00:00,140.82,2972.9478569130306,462.5,462.5
2025-01-04 20:00:00,134.39,2972.46735298812,462.5,462.5
2025-01-04 21:00:00,126.95,2972.897804420853,462.5,462.5
2025-01-04 22:00:00,126.1,2974.09906423313,462.5,462.5
2025-01-04 23:00:00,119.21,2973.268192862972,462.5,462.5
2025-01-05 00:00:00,119.4,2971.3161456680205,462.5,462.5
2025-01-05 01:00:00,114.11,2972.1470170381795,462.5,462.5
2025-01-05 02:00:00,110.07,2971.216040683664,462.5,462.5
2025-01-05 03:00:00,105.83,2971.346177163328,462.5,462.5
2025-01-05 04:00:00,107.53,2970.1649383479216,462.5,462.5
2025-01-05 05:00:00,115.1,2967.41205127812,462.5,462.5
2025-01-05 06:00:00,119.94,2966.5911904063964,462.5,462.5
2025-01-05 07:00:00,124.22,2965.139668133228,462.5,462.5
2025-01-05 08:00:00,127.8,2964.5390382270893,462.5,462.5
2025-01-05 09:00:00,129.11,2963.337778414812,462.5,462.5
2025-01-05 10:00:00,128.02,2963.2076419351483,462.5,462.5
2025-01-05 11:00:00,126.77,2961.005332279307,462.5,462.5
2025-01-05 12:00:00,126.1,2962.0864661103565,462.5,462.5
2025-01-05 13:00:00,126.36,2961.585941188574,462.5,462.5
2025-01-05 14:00:00,130.16,2958.682896642237,462.5,462.5
2025-01-05 15:00:00,132.1,2958.0322142439204,462.5,462.5
2025-01-05 16:00:00,133.39,2955.9800620646133,462.5,462.5
2025-01-05 17:00:00,132.93,2955.7798520959,462.5,462.5
2025-01-05 18:00:00,132.8,2956.1502405380197,462.5,462.5
2025-01-05 19:00:00,131.7,2958.5327391657024,462.5,462.5
2025-01-05 20:00:00,127.19,2959.904177451386,462.5,462.5
2025-01-05 21:00:00,117.88,2960.684996329366,462.5,462.5
2025-01-05 22:00:00,119.41,2963.4078519038617,462.5,462.5
2025-01-05 23:00:00,120.01,2964.4389332427327,462.5,462.5
2025-01-06 00:00:00,115.69,2965.6602140518817,462.5,462.5
2025-01-06 01:00:00,105.95,2966.661263895446,462.5,462.5
2025-01-06 02:00:00,98.58,2967.96262869208,462.5,462.5
2025-01-06 03:00:00,94.81,2965.6401930550105,462.5,462.5
2025-01-06 04:00:00,98.69,2966.541137914218,462.5,462.5
2025-01-06 05:00:00,112.34,2963.958429317822,462.5,462.5
2025-01-06 06:00:00,123.07,2962.5369385399604,462.5,462.5
2025-01-06 07:00:00,132.41,2962.7071170133663,462.5,462.5
2025-01-06 08:00:00,132.44,2962.3066970759405,462.5,462.5
2025-01-06 09:00:00,132.8,2961.20554224802,462.5,462.5
2025-01-06 10:00:00,130.65,2960.835153805901,462.5,462.5
2025-01-06 11:00:00,128.06,2957.4015528424748,462.5,462.5
2025-01-06 12:00:00,123.41,2957.4015528424748,462.5,462.5
2025-01-06 13:00:00,123.41,2957.8320042752075,462.5,462.5
2025-01-06 14:00:00,127.91,2957.081216892534,462.5,462.5
2025-01-06 15:00:00,137.19,2955.079117205405,462.5,462.5
2025-01-06 16:00:00,137.05,2950.974812846791,462.5,462.5
2025-01-06 17:00:00,139.99,2948.0217158082755,462.5,462.5
2025-01-06 18:00:00,137.5,2947.9216108239198,462.5,462.5
2025-01-06 19:00:00,134.91,2949.9237105110483,462.5,462.5
2025-01-06 20:00:00,129.8,2954.4284348070883,462.5,462.5
2025-01-06 21:00:00,128.88,2957.5817418143165,462.5,462.5
2025-01-06 22:00:00,125.88,2958.632844150059,462.5,462.5
2025-01-06 23:00:00,122.13,2959.553810006138,462.5,462.5
2025-01-07 00:00:00,118.51,2960.7851013137224,462.5,462.5
2025-01-07 01:00:00,115.19,2962.4568545524758,462.5,462.5
2025-01-07 02:00:00,115.86,2962.657064521188,462.5,462.5
2025-01-07 03:00:00,115.35,2962.83725349303,462.5,462.5
2025-01-07 04:00:00,111.27,2962.4568545524758,462.5,462.5
2025-01-07 05:00:00,118.4,2960.855174802772,462.5,462.5
2025-01-07 06:00:00,124.39,2959.6038624983166,462.5,462.5
