datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,grid_feed_in_MWh,net_outflow_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg
2025-01-01 00:00:00,102.2,2971.566408,462.5,843.36,6596.378162139701,5312.450869,7536.5545899808,5866.9227110192,2062.986065019199,5310.191000000001,3081.571,2228.620000000001,6596.378162139701,5312.450869,7536.5545899808,5310.191000000001,3081.571,2228.620000000001
2025-01-01 01:00:00,98.2,2971.165988,462.5,1539.948185,6515.625163902652,4924.261701,8064.393668009001,6427.245179991,2973.765179991,5804.052,2658.53,3145.521999999999,6515.625163902652,4924.261701,8064.393668009001,5804.052,2658.53,3145.521999999999
2025-01-01 02:00:00,72.6,2971.616461,462.5,1660.279927,6361.659031573331,4915.613284999999,8008.456800604798,6451.7205763952,2920.080576395199,5834.631,2737.319,3097.312,6361.659031573331,4915.613284999999,8008.456800604798,5834.631,2737.319,3097.312
2025-01-01 03:00:00,67.85,2972.597489,462.5,1429.874066,6134.665043469617,4741.327390999999,7867.618446017001,6322.680193982999,2935.380193983,6185.691,3054.983,3130.708,6134.665043469617,4741.327390999999,7867.618446017001,6185.691,3054.983,3130.708
2025-01-01 04:00:00,62.87,2977.923075,462.5,1522.372946,5927.71470655516,4738.819612,7740.129918568999,6208.600840431,2810.660890431,6038.959000000001,3034.221,3004.738,5927.71470655516,4738.819612,7740.129918568999,6038.959000000001,3034.221,3004.738
2025-01-01 05:00:00,58.99,2970.164938,462.5,1507.267803,5923.272896415927,4706.910932,7708.0723584128,6148.6915005872,2818.6715005872,5983.621999999999,2978.6,3005.022,5923.272896415927,4706.910932,7708.0723584128,5983.621999999999,2978.6,3005.022
2025-01-01 06:00:00,68.57,2966.641243,462.5,1435.372395,6008.855693968844,4753.093102,7791.013265945,6181.183926054999,2843.623926054999,6141.313,3100.826,3040.487,6008.855693968844,4753.093102,7791.013265945,6141.313,3100.826,3040.487
2025-01-01 07:00:00,74.03,2968.242923,462.5,1412.657664,6013.779226591378,4747.753764,7627.934221522399,5966.0862344776,2672.6662344776,6332.057,3449.664,2882.393,6013.779226591378,4747.753764,7627.934221522399,6332.057,3449.664,2882.393
2025-01-01 08:00:00,76.55,2968.663364,462.5,1449.482197,6110.510243472557,4816.17377,7688.3972006008,5968.730551136,2677.3403493992,6145.286,3270.488,2874.798,6110.510243472557,4816.17377,7688.3972006008,6145.286,3270.488,2874.798
2025-01-01 09:00:00,88.1,2968.613311,462.5,1710.117484,6140.147507502766,5064.691212,7719.651177437998,5914.193793888,2463.326449562,5957.421,3296.731,2660.69,6140.147507502766,5064.691212,7719.651177437998,5957.421,3296.731,2660.69
2025-01-01 10:00:00,85.73,2970.665463,462.5,1897.125375,6063.483838028076,5002.313384,8041.604070908599,6087.757973488,2843.5626200914,6069.123,3027.281,3041.842,6063.483838028076,5002.313384,8041.604070908599,6069.123,3027.281,3041.842
2025-01-01 11:00:00,75.8,2969.744497,462.5,2201.376636,5851.324457235508,5052.647402000001,7841.3113482768,5783.107794740999,2603.3015917232,5793.551,3001.848,2791.703,5851.324457235508,5052.647402000001,7841.3113482768,5793.551,3001.848,2791.703
2025-01-01 12:00:00,70.74,2968.763469,462.5,2481.689565,6000.59623552931,5215.661287999999,8053.438558742,5883.467210258,2667.773891258,5602.821,2762.135,2840.686000000001,6000.59623552931,5215.661287999999,8053.438558742,5602.821,2762.135,2840.686000000001
2025-01-01 13:00:00,68.38,2967.512156,462.5,2560.786062,5850.135559241644,5135.495136,7882.421171465,5763.398902534999,2579.528903534999,5617.723,2866.418,2751.305,5850.135559241644,5135.495136,7882.421171465,5617.723,2866.418,2751.305
2025-01-01 14:00:00,65.05,2967.091715,462.5,2302.324365,5741.758133108309,5052.148474,7747.604150852801,5746.0904701472,2536.9704701472,5480.3,2780.906,2699.394,5741.758133108309,5052.148474,7747.604150852801,5480.3,2780.906,2699.394
2025-01-01 15:00:00,82.71,2964.739248,462.5,1985.801923,5867.46432518772,4986.438759,7781.790746971998,5879.631913028,2611.761913028,6074.963,3276.709,2798.253999999999,5867.46432518772,4986.438759,7781.790746971998,6074.963,3276.709,2798.253999999999
2025-01-01 16:00:00,104.1,2962.336729,462.5,1825.569849,6311.92074632247,5280.804742,7461.505337324799,5628.247593312,2023.7163566752,5258.272,3075.24,2183.032,6311.92074632247,5280.804742,7461.505337324799,5258.272,3075.24,2183.032
2025-01-01 17:00:00,107.3,2962.837253,462.5,2031.37793,6962.371312088723,5757.498325,7874.1751302448,5909.87495816,1957.4737197552,5451.296,3332.413,2118.883,6962.371312088723,5757.498325,7874.1751302448,5451.296,3332.413,2118.883
2025-01-01 18:00:00,108.2,2964.639143,462.5,2124.457963,7129.676176104887,5904.693307,7846.585285522601,5796.650662927999,1793.2468644774,5128.134,3182.897,1945.237,7129.676176104887,5904.693307,7846.585285522601,5128.134,3182.897,1945.237
2025-01-01 19:00:00,106.18,2964.989511,462.5,1995.971571,6903.188595762111,5647.792767,7743.108022307001,5703.138868976,1942.752865693,5234.312,3133.89,2100.422,6903.188595762111,5647.792767,7743.108022307001,5234.312,3133.89,2100.422
2025-01-01 20:00:00,102.83,2965.510057,462.5,1834.920354,6627.838370545475,5234.690074,8053.809463897401,6144.6776325746,2651.4721731026,5894.093,3070.614,2823.479,6627.838370545475,5234.690074,8053.809463897401,5894.093,3070.614,2823.479
2025-01-01 21:00:00,102.33,2965.940508,462.5,1517.597395,6405.300367615681,4920.507664,7946.152811191798,6213.713875808199,2860.6405528082,5911.95,2882.643,3029.307,6405.300367615681,4920.507664,7946.152811191798,5911.95,2882.643,3029.307
2025-01-01 22:00:00,103.56,2967.241873,462.5,1560.816834,6326.193456929668,4869.992436,7898.258260284001,6227.287193715999,2854.900534715999,5951.409,2920.08,3031.329,6326.193456929668,4869.992436,7898.258260284001,5951.409,2920.08,3031.329
2025-01-01 23:00:00,102.74,2966.010581,462.5,1404.92272,6127.896243105835,4722.506401,7729.036775472999,6112.630036526999,2822.686710526999,6265.787,3253.754,3012.033,6127.896243105835,4722.506401,7729.036775472999,6265.787,3253.754,3012.033
2025-01-02 00:00:00,108.93,2966.310896,462.5,1690.419948,6002.920143139701,5009.795407,6869.924806917001,5263.182622082999,1677.809312082999,5829.746999999999,3965.059,1864.688,6002.920143139701,5009.795407,6869.924806917001,5829.746999999999,3965.059,1864.688
2025-01-02 01:00:00,109.49,2966.891505,462.5,1427.966284,5811.426548902651,4958.491317,7131.557570173001,5532.813057826999,1990.019724827,5869.927,3691.875,2178.052,5811.426548902651,4958.491317,7131.557570173001,5869.927,3691.875,2178.052
2025-01-02 02:00:00,107.7,2965.760319,462.5,1167.036281,5668.819328573329,4760.018612999999,7104.226114132802,5575.9101448672,2159.4901448672,5790.79,3442.487,2348.303,5668.819328573329,4760.018612999999,7104.226114132802,5790.79,3442.487,2348.303
2025-01-02 03:00:00,107.0,2965.690246,462.5,1163.837594,5534.183888469614,4613.947363,7257.737427192999,5784.087811807,2455.497811806999,5933.745,3285.869,2647.876,5534.183888469614,4613.947363,7257.737427192999,5933.745,3285.869,2647.876
2025-01-02 04:00:00,106.3,2966.461054,462.5,1184.188588,5396.865090555159,4547.313943,7197.136805193,5747.255811806999,2458.695811807,5904.362,3251.202,2653.16,5396.865090555159,4547.313943,7197.136805193,5904.362,3251.202,2653.16
2025-01-02 05:00:00,106.82,2963.838303,462.5,1286.855542,5547.890848415926,4617.663721999999,7268.266321214,5795.037144786,2467.757144786,5848.261,3195.07,2653.191,5547.890848415926,4617.663721999999,7268.266321214,5848.261,3195.07,2653.191
2025-01-02 06:00:00,110.95,2962.15654,462.5,1554.802787,5793.925019968843,4913.228773000001,7078.682022132798,5448.0434778672,2006.9834778672,5304.682,3136.647,2168.035,5793.925019968843,4913.228773000001,7078.682022132798,5304.682,3136.647,2168.035
2025-01-02 07:00:00,125.37,2963.037463,462.5,2145.552683,6016.634056591379,5612.372121,6478.0340568574,4738.6363915426,726.4056051425998,4316.007000000001,3448.202,867.8050000000002,6016.634056591379,5612.372121,6478.0340568574,4316.007000000001,3448.202,867.8050000000002
2025-01-02 08:00:00,132.08,2961.605962,462.5,3650.416485,6303.969085472558,7354.724722999999,6719.932658826801,4878.300329999999,0.0,3251.829,3883.96,-632.1309999999997,6303.969085472558,7354.724722999999,6719.932658826801,3251.829,3883.96,-632.1309999999997
2025-01-02 09:00:00,133.4,2961.435784,462.5,3977.290613,6486.513559502763,7951.662837,6897.6522622084,4831.778996,0.0,2605.885,3657.983,-1052.098,6486.513559502763,7951.662837,6897.6522622084,2605.885,3657.983,-1052.098
2025-01-02 10:00:00,130.97,2969.364098,462.5,3162.323528,6484.423768028075,6903.111180999999,6997.472921163602,4861.562327,57.90362266939995,3237.254,3139.501,97.75300000000028,6484.423768028075,6903.111180999999,6997.472921163602,3237.254,3139.501,97.75300000000028
2025-01-02 11:00:00,127.45,2962.306697,462.5,3085.966297,6423.692983235511,6308.506308999999,7050.58244515,4934.1896906,640.11080085,3279.01,2534.06,744.9500000000002,6423.692983235511,6308.506308999999,7050.58244515,3279.01,2534.06,744.9500000000002
2025-01-02 12:00:00,124.81,2953.277227,462.5,2330.082416,6615.751081529314,5548.469998,7206.236823192999,5202.215811807,1552.735811807,3707.392,2046.659,1660.733,6615.751081529314,5548.469998,7206.236823192999,3707.392,2046.659,1660.733
