datetime,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,net_outflow_MWh,grid_feed_in_MWh,import_AT_MWh,import_DE_MWh,import_FR_MWh,import_IT_MWh,export_AT_MWh,export_DE_MWh,export_FR_MWh,export_IT_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg,net_import_check_MWh
2025-01-01 00:00:00,6596.378162139701,5312.450869,7536.5545899808,2062.986065019199,5866.9227110192,788.973,3015.846,1424.675,80.697,184.8,11.3,350.591,2534.88,5310.191000000001,3081.571,2228.620000000001,6596.378162139701,5312.450869,7536.5545899808,5310.191000000001,3081.571,2228.620000000001,2228.620000000001
2025-01-01 01:00:00,6515.625163902652,4924.261701,8064.393668009001,2973.765179991,6427.245179991,730.517,3429.854,1518.332,125.349,269.9,27.5,201.47,2159.66,5804.052,2658.53,3145.521999999999,6515.625163902652,4924.261701,8064.393668009001,5804.052,2658.53,3145.521999999999,3145.5219999999995
2025-01-01 02:00:00,6361.659031573331,4915.613284999999,8008.456800604798,2920.080576395199,6451.7205763952,635.525,3433.913,1636.884,128.309,400.9,43.7,200.602,2092.117,5834.631,2737.319,3097.312,6361.659031573331,4915.613284999999,8008.456800604798,5834.631,2737.319,3097.312,3097.3120000000004
2025-01-01 03:00:00,6134.665043469617,4741.327390999999,7867.618446017001,2935.380193983,6322.680193982999,656.857,3677.513,1795.304,56.017,431.2000000000001,94.9,72.426,2456.457,6185.691,3054.983,3130.708,6134.665043469617,4741.327390999999,7867.618446017001,6185.691,3054.983,3130.708,3130.7079999999996
2025-01-01 04:00:00,5927.71470655516,4738.819612,7740.129918568999,2810.660890431,6208.600840431,707.096,3471.358,1801.65,58.855,372.0,113.8,81.519,2466.902,6038.959000000001,3034.221,3004.738,5927.71470655516,4738.819612,7740.129918568999,6038.959000000001,3034.221,3004.738,3004.7380000000007
2025-01-01 05:00:00,5923.272896415927,4706.910932,7708.0723584128,2818.6715005872,6148.6915005872,668.0799999999999,3328.587,1890.154,96.801,407.7,131.9,43.161,2395.839,5983.621999999999,2978.6,3005.022,5923.272896415927,4706.910932,7708.0723584128,5983.621999999999,2978.6,3005.022,3005.0219999999995
2025-01-01 06:00:00,6008.855693968844,4753.093102,7791.013265945,2843.623926054999,6181.183926054999,725.327,3415.836,1925.431,74.719,382.4,105.6,72.481,2540.345,6141.313,3100.826,3040.487,6008.855693968844,4753.093102,7791.013265945,6141.313,3100.826,3040.487,3040.487
2025-01-01 07:00:00,6013.779226591378,4747.753764,7627.934221522399,2672.6662344776,5966.0862344776,871.5129999999999,3569.564,1841.323,49.657,325.1,78.4,156.916,2889.248,6332.057,3449.664,2882.393,6013.779226591378,4747.753764,7627.934221522399,6332.057,3449.664,2882.393,2882.3929999999996
2025-01-01 08:00:00,6110.510243472557,4816.17377,7688.3972006008,2677.3403493992,5968.730551136,813.99,3425.805,1807.726,97.765,346.8,66.8,158.081,2698.807,6145.286,3270.488,2874.798,6110.510243472557,4816.17377,7688.3972006008,6145.286,3270.488,2874.798,2874.7980000000002
2025-01-01 09:00:00,6140.147507502766,5064.691212,7719.651177437998,2463.326449562,5914.193793888,886.6949999999999,3127.444,1908.274,35.008,293.7,61.8,69.069,2872.162,5957.421,3296.731,2660.69,6140.147507502766,5064.691212,7719.651177437998,5957.421,3296.731,2660.69,2660.69
2025-01-01 10:00:00,6063.483838028076,5002.313384,8041.604070908599,2843.5626200914,6087.757973488,949.963,3260.636,1777.683,80.84100000000001,257.9,31.4,53.379,2684.602,6069.123,3027.281,3041.842,6063.483838028076,5002.313384,8041.604070908599,6069.123,3027.281,3041.842,3041.8419999999996
2025-01-01 11:00:00,5851.324457235508,5052.647402000001,7841.3113482768,2603.3015917232,5783.107794740999,967.369,2967.571,1790.459,68.152,284.3,14.4,12.009,2691.139,5793.551,3001.848,2791.703,5851.324457235508,5052.647402000001,7841.3113482768,5793.551,3001.848,2791.703,2791.7030000000004
2025-01-01 12:00:00,6000.59623552931,5215.661287999999,8053.438558742,2667.773891258,5883.467210258,1033.902,2805.675,1629.927,133.317,223.2,0.0,7.739,2531.196,5602.821,2762.135,2840.686000000001,6000.59623552931,5215.661287999999,8053.438558742,5602.821,2762.135,2840.686000000001,2840.6859999999997
2025-01-01 13:00:00,5850.135559241644,5135.495136,7882.421171465,2579.528903534999,5763.398902534999,963.029,2699.507,1859.41,95.777,250.1,47.5,4.1,2564.718,5617.723,2866.418,2751.305,5850.135559241644,5135.495136,7882.421171465,5617.723,2866.418,2751.305,2751.305
2025-01-01 14:00:00,5741.758133108309,5052.148474,7747.604150852801,2536.9704701472,5746.0904701472,756.563,2430.535,2203.278,89.924,352.8,68.7,0.0,2359.406,5480.3,2780.906,2699.394,5741.758133108309,5052.148474,7747.604150852801,5480.3,2780.906,2699.394,2699.3940000000002
2025-01-01 15:00:00,5867.46432518772,4986.438759,7781.790746971998,2611.761913028,5879.631913028,737.341,3039.16,2274.511,23.951,402.7,119.4,0.0,2754.609,6074.963,3276.709,2798.253999999999,5867.46432518772,4986.438759,7781.790746971998,6074.963,3276.709,2798.253999999999,2798.254
2025-01-01 16:00:00,6311.92074632247,5280.804742,7461.505337324799,2023.7163566752,5628.247593312,390.926,2636.26,2167.385,63.70099999999999,523.4,165.6,0.2,2386.04,5258.272,3075.24,2183.032,6311.92074632247,5280.804742,7461.505337324799,5258.272,3075.24,2183.032,2183.032
2025-01-01 17:00:00,6962.371312088723,5757.498325,7874.1751302448,1957.4737197552,5909.87495816,504.584,2830.475,2048.89,67.347,466.1,171.4,26.6,2668.313,5451.296,3332.413,2118.883,6962.371312088723,5757.498325,7874.1751302448,5451.296,3332.413,2118.883,2118.8830000000003
2025-01-01 18:00:00,7129.676176104887,5904.693307,7846.585285522601,1793.2468644774,5796.650662927999,496.935,2789.411,1755.958,85.83,469.6,138.0,84.04599999999999,2491.251,5128.134,3182.897,1945.237,7129.676176104887,5904.693307,7846.585285522601,5128.134,3182.897,1945.237,1945.237
2025-01-01 19:00:00,6903.188595762111,5647.792767,7743.108022307001,1942.752865693,5703.138868976,504.549,2904.898,1746.777,78.088,468.4,118.3,41.904,2505.286,5234.312,3133.89,2100.422,6903.188595762111,5647.792767,7743.108022307001,5234.312,3133.89,2100.422,2100.422
2025-01-01 20:00:00,6627.838370545475,5234.690074,8053.809463897401,2651.4721731026,6144.6776325746,653.2570000000001,3114.241,2052.3,74.295,413.9,124.5,20.1,2512.114,5894.093,3070.614,2823.479,6627.838370545475,5234.690074,8053.809463897401,5894.093,3070.614,2823.479,2823.479
2025-01-01 21:00:00,6405.300367615681,4920.507664,7946.152811191798,2860.6405528082,6213.713875808199,530.335,3255.282,2036.948,89.38499999999999,465.9,130.6,16.6,2269.543,5911.95,2882.643,3029.307,6405.300367615681,4920.507664,7946.152811191798,5911.95,2882.643,3029.307,3029.307
2025-01-01 22:00:00,6326.193456929668,4869.992436,7898.258260284001,2854.900534715999,6227.287193715999,754.136,3477.642,1647.47,72.161,295.6,76.4,48.316,2499.764,5951.409,2920.08,3031.329,6326.193456929668,4869.992436,7898.258260284001,5951.409,2920.08,3031.329,3031.3289999999997
2025-01-01 23:00:00,6127.896243105835,4722.506401,7729.036775472999,2822.686710526999,6112.630036526999,840.589,3701.59,1669.83,53.778,335.1,47.9,101.266,2769.488,6265.787,3253.754,3012.033,6127.896243105835,4722.506401,7729.036775472999,6265.787,3253.754,3012.033,3012.0330000000004
2025-01-02 00:00:00,6002.920143139701,5009.795407,6869.924806917001,1677.809312082999,5263.182622082999,893.612,3522.54,1409.789,3.806,310.4,50.5,427.858,3176.301,5829.746999999999,3965.059,1864.688,6002.920143139701,5009.795407,6869.924806917001,5829.746999999999,3965.059,1864.688,1864.6879999999992
2025-01-02 01:00:00,5811.426548902651,4958.491317,7131.557570173001,1990.019724827,5532.813057826999,855.489,3539.882,1431.527,43.029,394.0,52.5,194.894,3050.481,5869.927,3691.875,2178.052,5811.426548902651,4958.491317,7131.557570173001,5869.927,3691.875,2178.052,2178.0519999999997
2025-01-02 02:00:00,5668.819328573329,4760.018612999999,7104.226114132802,2159.4901448672,5575.9101448672,848.609,3486.444,1425.477,30.26,323.5,28.3,210.846,2879.841,5790.79,3442.487,2348.303,5668.819328573329,4760.018612999999,7104.226114132802,5790.79,3442.487,2348.303,2348.303
2025-01-02 03:00:00,5534.183888469614,4613.947363,7257.737427192999,2455.497811806999,5784.087811807,914.765,3499.4,1516.474,3.106,259.9,21.8,93.245,2910.924,5933.745,3285.869,2647.876,5534.183888469614,4613.947363,7257.737427192999,5933.745,3285.869,2647.876,2647.8759999999997
2025-01-02 04:00:00,5396.865090555159,4547.313943,7197.136805193,2458.695811807,5747.255811806999,901.93,3435.662,1555.368,11.402,224.8,47.0,52.014,2927.388,5904.362,3251.202,2653.16,5396.865090555159,4547.313943,7197.136805193,5904.362,3251.202,2653.16,2653.16
2025-01-02 05:00:00,5547.890848415926,4617.663721999999,7268.266321214,2467.757144786,5795.037144786,949.074,3333.973,1517.274,47.94,209.8,42.3,57.959,2885.011,5848.261,3195.07,2653.191,5547.890848415926,4617.663721999999,7268.266321214,5848.261,3195.07,2653.191,2653.1910000000003
