total_revenue_EUR,total_cost_EUR,total_profit_EUR,initial_storage_value_EUR,final_storage_value_EUR,terminal_storage_value_EUR,adjusted_total_profit_EUR,total_pumped_MWh,total_generated_MWh,roundtrip_losses_MWh,pumping_hours,generation_hours,start_storage_MWh,final_storage_MWh,total_deficit_before_MWh,total_deficit_after_MWh,deficit_reduction_MWh,total_surplus_before_MWh,total_surplus_after_MWh,surplus_absorbed_MWh,import_reduction_MWh,renewable_surplus_absorbed_MWh,terminal_storage_price_per_MWh,storage_cycles,scenario,strategy
222123157.7,0.0,222123157.7,101578071.9,10187732.7625,-91390339.1375,130732818.56249999,0.0,1653915.0,0.0,0,2789,818040.0,82045.0,7906571.707847549,7547938.01874794,1444589.284,7514543.227473627,7514543.227473627,0.0,1444589.284,0.0,124.1725,0.0,generation_only_rolling_24h,Generation only
325778518.85,27481486.5,298297032.35,101578071.9,10187732.7625,-91390339.1375,206906693.21250004,954900.0,2370090.0,0.0,1061,2077,818040.0,82045.0,7906571.707847549,7409152.945602793,2243006.744,7514543.227473627,7340222.835189458,288000.0,2243006.744,286200.0,124.1725,0.5822560975609756,rolling_24h_price_arbitrage_max,Arbitrage
307783602.95,32665329.0,275118273.95,101578071.9,10187732.7625,-91390339.1375,183727934.8125,936000.0,2355915.0,0.0,1040,3175,818040.0,82045.0,7906571.707847549,7484925.009772198,2083822.7509999997,7514543.227473627,7300801.825652266,352800.0,2083822.7509999997,352800.0,124.1725,0.5707317073170731,renewable_support_conservative,Renew. conservative
377330491.65,86407803.0,290922688.65,101578071.9,10187732.7625,-91390339.1375,199532349.5125,1492200.0,2773065.0,0.0,1658,2411,818040.0,82045.0,7906571.707847549,7324392.59892234,2584856.747,7514543.227473627,7159719.5178379305,556200.0,2584856.747,534600.0,124.1725,0.9098780487804878,renewable_support_balanced,Renew. balanced
398730337.0,140787162.0,257943175.0,101578071.9,41735618.975,-59842452.925,198100722.075,2035800.0,2926700.0,0.0,2262,2075,818040.0,336110.0,7906571.707847549,7093900.4660746595,2793262.552,7514543.227473627,6870006.8700575195,935100.0,2793262.552,860400.0,124.1725,1.2413414634146342,renewable_support_aggressive,Renew. aggressive
