datetime,price_EUR_per_MWh,load_MW,production_MW,import_MW,export_MW,net_balance_MW,deficit_MW,surplus_MW,action,pump_MWh,generation_MWh,storage_MWh,cost_EUR,revenue_EUR,profit_EUR,deficit_after_storage_MW,surplus_after_storage_MW,import_reduction_MWh,surplus_absorbed_MWh,low_threshold,high_threshold,scenario
2025-01-02 04:00:00,106.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,841141.0,95670.0,0.0,-95670.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 05:00:00,106.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,841870.0,96138.0,0.0,-96138.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 06:00:00,110.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,842599.0,99855.0,0.0,-99855.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 07:00:00,125.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,843328.0,112833.0,0.0,-112833.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 08:00:00,132.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,844057.0,118872.00000000001,0.0,-118872.00000000001,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 09:00:00,133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,844786.0,120060.0,0.0,-120060.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 10:00:00,130.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,845515.0,117873.0,0.0,-117873.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 11:00:00,127.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,846244.0,114705.0,0.0,-114705.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 12:00:00,124.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,846973.0,112329.0,0.0,-112329.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 13:00:00,126.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,847702.0,113715.0,0.0,-113715.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 14:00:00,128.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,848431.0,116054.99999999999,0.0,-116054.99999999999,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 15:00:00,134.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,849160.0,121131.0,0.0,-121131.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 16:00:00,138.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,849889.0,124317.0,0.0,-124317.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 17:00:00,143.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,850618.0,129231.0,0.0,-129231.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 18:00:00,144.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,851347.0,130113.0,0.0,-130113.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 19:00:00,141.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,852076.0,127008.0,0.0,-127008.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 20:00:00,135.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,852805.0,121788.0,0.0,-121788.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 21:00:00,125.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,853534.0,113157.0,0.0,-113157.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 22:00:00,125.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,854263.0,113265.0,0.0,-113265.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-02 23:00:00,115.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,854992.0,104391.0,0.0,-104391.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 00:00:00,108.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,855721.0,97722.0,0.0,-97722.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 01:00:00,107.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,856450.0,96444.0,0.0,-96444.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 02:00:00,106.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,857179.0,96138.0,0.0,-96138.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 03:00:00,104.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,857908.0,93987.0,0.0,-93987.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 04:00:00,105.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,858637.0,95166.0,0.0,-95166.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 05:00:00,110.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,859366.0,99387.0,0.0,-99387.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 06:00:00,118.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,860095.0,106488.0,0.0,-106488.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 07:00:00,127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,860824.0,114660.0,0.0,-114660.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
