strategy_name,min_surplus_mwh,min_renewable_fraction,safety_margin,low_quantile,high_quantile,round_trip_efficiency,total_profit_EUR,total_pumped_MWh,total_generated_MWh,deficit_reduction_MWh,surplus_absorbed_MWh,renewable_surplus_absorbed_MWh,final_storage_MWh,error
renewable_surplus_plus_rolling_price,100.0,0.5,1.25,0.2,0.7,0.75,153513383.0,603000.0,1368210.0,1183118.327,285300.0,285300.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.5,1.25,0.2,0.8,0.75,166202853.95000002,649800.0,1403310.0,1135449.52,295200.0,295200.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.5,1.25,0.3,0.7,0.75,162529604.65,738900.0,1470135.0,1254113.48,292500.0,292500.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.5,1.25,0.3,0.8,0.75,175937412.6,799200.0,1515360.0,1224315.628,303300.0,302400.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.0,0.2,0.7,0.75,160290332.45,904500.0,1594335.0,1376568.204,321300.0,321300.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.0,0.2,0.8,0.75,174484328.25,1084500.0,1729335.0,1412758.5839999998,364500.0,364500.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.0,0.3,0.7,0.75,171512889.25,1141200.0,1771860.0,1508090.3669999999,333900.0,333000.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.0,0.3,0.8,0.75,187320533.0,1446300.0,2000685.0,1638401.769,396900.0,389700.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.1,0.2,0.7,0.75,156198663.2,700200.0,1441110.0,1241185.672,292500.0,292500.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.1,0.2,0.8,0.75,169740811.85000002,792900.0,1510635.0,1227125.8569999998,314100.0,314100.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.1,0.3,0.7,0.75,166349642.8,873000.0,1570710.0,1335005.4900000002,303300.0,303300.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.1,0.3,0.8,0.75,180993536.14999998,1014300.0,1676685.0,1355586.315,325800.0,324900.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.25,0.2,0.7,0.75,153294472.25,599400.0,1365510.0,1181093.46,281700.0,281700.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.25,0.2,0.8,0.75,165910129.45000002,644400.0,1399260.0,1132702.391,289800.0,289800.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.25,0.3,0.7,0.75,162453879.8,737100.0,1468785.0,1252983.48,290700.0,290700.0,82045.0,
renewable_surplus_plus_rolling_price,100.0,0.7,1.25,0.3,0.8,0.75,175802604.75,795600.0,1512660.0,1221678.489,299700.0,298800.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.0,0.2,0.7,0.75,158901099.14999998,894600.0,1586910.0,1371158.503,311400.0,311400.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.0,0.2,0.8,0.75,173574938.10000002,1107000.0,1746210.0,1426161.8260000001,387000.0,387000.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.0,0.3,0.7,0.75,171254363.5,1146600.0,1775910.0,1510843.782,339300.0,338400.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.0,0.3,0.8,0.75,187115811.95,1476000.0,2022960.0,1658494.9279999998,426600.0,419400.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.1,0.2,0.7,0.75,154706540.05,681300.0,1426935.0,1230427.195,273600.0,273600.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.1,0.2,0.8,0.75,168184720.95,782100.0,1502535.0,1219275.25,303300.0,303300.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.1,0.3,0.7,0.75,166019979.6,868500.0,1567335.0,1332417.7630000003,298800.0,298800.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.1,0.3,0.8,0.75,180711596.8,1017900.0,1679385.0,1358409.2289999998,329400.0,328500.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.25,0.2,0.7,0.75,151789708.0,577800.0,1349310.0,1169347.261,260100.0,260100.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.25,0.2,0.8,0.75,164129907.64999998,621900.0,1382385.0,1117825.635,267300.0,267300.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.25,0.3,0.7,0.75,162092992.05,730800.0,1464060.0,1248997.529,284400.0,284400.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.5,1.25,0.3,0.8,0.75,175341849.99999997,789300.0,1507935.0,1219404.107,293400.0,292500.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.0,0.2,0.7,0.75,158505253.45,875700.0,1572735.0,1359830.309,292500.0,292500.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.0,0.2,0.8,0.75,172525354.0,1052100.0,1705035.0,1395120.44,332100.0,332100.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.0,0.3,0.7,0.75,171057276.0,1131300.0,1764435.0,1501854.416,324000.0,323100.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.0,0.3,0.8,0.75,186751034.45000002,1433700.0,1991235.0,1630895.31,384300.0,377100.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.1,0.2,0.7,0.75,154405126.3,672300.0,1420185.0,1225669.707,264600.0,264600.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.1,0.2,0.8,0.75,167665295.2,764100.0,1489035.0,1208722.297,285300.0,285300.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.1,0.3,0.7,0.75,165886584.3,863100.0,1563285.0,1329279.0890000002,293400.0,293400.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.1,0.3,0.8,0.75,180344264.6,1003500.0,1668585.0,1350564.042,315000.0,314100.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.25,0.2,0.7,0.75,151570797.25,574200.0,1346610.0,1167322.3939999999,256500.0,256500.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.25,0.2,0.8,0.75,163836088.45,616500.0,1378335.0,1115078.506,261900.0,261900.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.25,0.3,0.7,0.75,162017267.2,729000.0,1462710.0,1247867.529,282600.0,282600.0,82045.0,
renewable_surplus_plus_rolling_price,250.0,0.7,1.25,0.3,0.8,0.75,175195850.64999998,785700.0,1505235.0,1217365.758,289800.0,288900.0,82045.0,
