total_revenue_EUR,total_cost_EUR,total_profit_EUR,total_pumped_MWh,total_generated_MWh,roundtrip_losses_MWh,pumping_hours,generation_hours,final_storage_MWh,total_deficit_before_MWh,total_deficit_after_MWh,deficit_reduction_MWh,total_surplus_before_MWh,total_surplus_after_MWh,surplus_absorbed_MWh,import_reduction_MWh,renewable_surplus_absorbed_MWh,storage_cycles,scenario,strategy
228714065.39999998,0.0,228714065.39999998,0.0,1653915.0,0.0,0,2536,82045.0,7906571.707847549,7753074.968684431,1524013.9420000003,7514543.227473627,7514543.227473627,0.0,1524013.942,0.0,0.0,generation_only_rolling_24h,"Current hydropower plant, no pumping"
319966258.35,27481486.5,292484771.85,954900.0,2370090.0,0.0,1061,1352,82045.0,7906571.707847549,7804706.9121051915,1996442.3159999999,7514543.227473627,7340222.835189458,288000.0,1996442.316,286200.0,0.5822560975609756,rolling_24h_price_arbitrage_max,"Pumped Hydro Simulation, max economic benefit"
310291585.90000004,22405374.0,287886211.9,822600.0,2270865.0,0.0,914,1755,82045.0,7906571.707847549,7758397.043085057,1941293.633,7514543.227473627,7306185.343116083,343800.0,1941293.6330000001,343800.0,0.5015853658536585,renewable_support_conservative,Renewable surplus support - conservative
327996883.15,37633513.5,290363369.65,1060200.0,2449065.0,0.0,1178,2536,82045.0,7906571.707847549,7730575.974781194,2120133.687,7514543.227473627,7279159.633563856,388800.0,2120133.687,388800.0,0.6464634146341464,renewable_support_balanced,Renewable surplus support - balanced
363383557.95,72555475.5,290828082.45,1485000.0,2767665.0,0.0,1650,2907,82045.0,7906571.707847549,7700091.935362391,2402702.62,7514543.227473627,7074078.047492309,677700.0,2402702.62,676800.0,0.9054878048780488,renewable_support_aggressive,Renewable surplus support - aggressive
